"","x"
"1566",30022
"1567",30052
"1568",30054
"1569",30061
"1570",30067
"1571",30068
"1572",30069
"1573",30075
"1574",30076
"1575",30100
"1576",30117
"1577",30118
"1578",30119
"1579",30120
"1580",30130
"1581",30131
"1582",30132
"1583",30133
"1584",30136
"1585",30137
"1586",30138
"1587",30142
"1588",30187
"1589",30188
"1590",30198
"1591",30199
"1592",30236
"1593",30252
"1594",30253
"1595",30256
"1596",30264
"1597",30310
"1598",30320
"1599",30321
"1600",30369
"1601",30388
"1602",30434
"1603",30439
"1604",30479
"1605",30500
"1606",30512
"1607",30513
"1608",30520
"1609",30555
"1610",30556
"1611",30557
"1612",30579
"1613",30621
"1614",30649
"1615",30677
"1616",30707
"1617",30709
"1618",30730
"1619",30731
"1620",30732
"1621",30733
"1622",30752
"1623",30758
"1624",30763
"1625",30766
"1626",30785
"1627",30787
"1628",30794
"1629",30818
"1630",30819
"1631",30820
"1632",30840
"1633",30846
"1634",30848
"1635",30849
"1636",30861
"1637",30887
"1638",30899
"1639",30903
"1640",30905
"1641",30914
"1642",30945
"1643",30957
"1644",31002
"1645",31003
"1646",31004
"1647",31006
"1648",31009
"1649",31012
"1650",31050
"1651",31055
"1652",31058
"1653",31060
"1654",31111
"1655",31121
"1656",31149
"1657",31150
"1658",31154
"1659",31184
"1660",31192
"1661",31195
"1662",31204
"1663",31216
"1664",31217
"1665",31218
"1666",31219
"1667",31229
"1668",31256
"1669",31261
"1670",31262
"1671",31291
"1672",31296
"1673",31302
"1674",31326
"1675",31328
"1676",31329
"1677",31338
"1678",31348
"1679",31354
"1680",31359
"1681",31361
"1682",31376
"1683",31406
"1684",31407
"1685",31742
"1686",31797
"1687",31799
"1688",31815
"1689",31859
"1690",31861
"1691",31874
"1692",31939
"1693",32013
"1694",32022
"1695",32048
"1696",32049
"1697",32065
"1698",32095
"1699",32096
"1700",32103
"1701",32110
"1702",32128
"1703",32146
"1704",32147
"1705",32157
"1706",32182
"1707",32197
"1708",32198
"1709",32200
"1710",32211
"1711",32213
"1712",32214
"1713",32237
"1714",32240
"1715",32242
"1716",32265
"1717",32266
"1718",32269
"1719",32295
"1720",32297
"1721",32298
"1722",32302
"1723",32309
"1724",32320
"1725",32352
"1726",32356
"1727",32358
"1728",32383
"1729",32393
"1730",32442
"1731",32450
"1732",32511
"1733",32566
"1734",32630
"1735",32640
"1736",32703
"1737",32759
"1738",32767
"1739",32822
"1740",32824
"1741",32830
"1742",32884
"1743",32895
"1744",32947
"1745",32960
"1746",32984
"1747",33025
"1748",33049
"1749",33064
"1750",33071
"1751",33089
"1752",33135
"1753",33156
"1754",33166
"1755",33194
"1756",33201
"1757",33223
"1758",33250
"1759",33251
"1760",33266
"1761",33309
"1762",33313
"1763",33346
"1764",33362
"1765",33363
"1766",33376
"1767",33378
"1768",33384
"1769",33396
"1770",33401
"1771",33414
"1772",33415
"1773",33419
"1774",33420
"1775",33437
"1776",33444
"1777",33447
"1778",33455
"1779",33468
"1780",33488
"1781",33489
"1782",33490
"1783",33499
"1784",33500
"1785",33511
"1786",33523
"1787",33536
"1788",33537
"1789",33552
"1790",33553
"1791",33557
"1792",33560
"1793",33581
"1794",33607
"1795",33619
"1796",33639
"1797",33675
"1798",33687
"1799",33698
"1800",33708
"1801",33744
"1802",33755
"1803",33768
"1804",33769
"1805",33774
"1806",33821
"1807",33844
"1808",33845
"1809",33883
"1810",33912
"1811",33913
"1812",33948
"1813",33964
"1814",33965
"1815",33977
"1816",33980
"1817",34016
"1818",34021
"1819",34045
"1820",34047
"1821",34074
"1822",34077
"1823",34108
"1824",34137
"1825",34143
"1826",34162
"1827",34168
"1828",34172
"1829",34193
"1830",34196
"1831",34203
"1832",34217
"1833",34219
"1834",34220
"1835",34223
"1836",34228
"1837",34237
"1838",34257
"1839",34261
"1840",34262
"1841",34263
"1842",34269
"1843",34282
"1844",34313
"1845",34319
"1846",34325
"1847",34327
"1848",34362
"1849",34370
"1850",34372
